horizon,method,mean_trajectory_error,projection_error,variance_error,variance_trace,sgd_variance_trace,final_displacement_error
1,sgd,0.0,0.0,0.0,0.00019768980564549565,0.00019768980564549565,0.0
5,sgd,0.0,0.0,0.0,0.0013294359669089317,0.0013294359669089317,0.0
20,sgd,0.0,0.0,0.0,0.003505022032186389,0.003505022032186389,0.0
1,standard_langevin,0.7461097836494446,0.232220858335495,0.18543952703475952,0.00023434931063093245,0.00019768980564549565,0.7461097836494446
5,standard_langevin,0.40225642919540405,0.28694066405296326,0.31915709376335144,0.0009051370434463024,0.0013294359669089317,0.40225642919540405
20,standard_langevin,0.28986507654190063,0.13406796753406525,0.05626840144395828,0.003307800041511655,0.003505022032186389,0.28986507654190063
1,modified_langevin,0.7160745859146118,0.5310954451560974,0.6316993236541748,0.00032257032580673695,0.00019768980564549565,0.7160745859146118
5,modified_langevin,0.3186815083026886,0.34533512592315674,0.12906304001808167,0.0015010170172899961,0.0013294359669089317,0.3186815083026886
20,modified_langevin,0.23899970948696136,0.22684143483638763,0.36234232783317566,0.004775039851665497,0.003505022032186389,0.23899970948696136
1,modified_c_0.5,0.7202630639076233,0.4880661964416504,0.5056836605072021,9.772130579221994e-05,0.00019768980564549565,0.7202630639076233
5,modified_c_0.5,0.27768707275390625,0.1574554741382599,0.8031517863273621,0.00026169707416556776,0.0013294359669089317,0.27768707275390625
20,modified_c_0.5,0.19317984580993652,0.15278007090091705,0.6682748794555664,0.0011627039639279246,0.003505022032186389,0.19317984580993652
1,modified_c_1,0.7160745859146118,0.5310954451560974,0.6316993236541748,0.00032257032580673695,0.00019768980564549565,0.7160745859146118
5,modified_c_1,0.3186815083026886,0.34533512592315674,0.12906304001808167,0.0015010170172899961,0.0013294359669089317,0.3186815083026886
20,modified_c_1,0.23899970948696136,0.22684143483638763,0.36234232783317566,0.004775039851665497,0.003505022032186389,0.23899970948696136
1,modified_c_1.5,1.2964097261428833,0.7437205910682678,2.4995944499969482,0.0006918341387063265,0.00019768980564549565,1.2964097261428833
5,modified_c_1.5,0.7321780323982239,0.40149664878845215,1.2785303592681885,0.00302916020154953,0.0013294359669089317,0.7321780323982239
20,modified_c_1.5,0.5020514726638794,0.15737470984458923,3.368760585784912,0.015312602743506432,0.003505022032186389,0.5020514726638794
