step,method,variance,eta
0.01,empirical_centered_covariance,1.8007468271742166e-06,0.01
0.03,empirical_centered_covariance,1.620672144456795e-05,0.03
0.1,empirical_centered_covariance,0.00018007468271742167,0.1
0.2,empirical_centered_covariance,0.0007202987308696867,0.2
0.01,eta2_Tr_Sigma,1.8293301101452358e-06,0.01
0.03,eta2_Tr_Sigma,1.6463970991307122e-05,0.03
0.1,eta2_Tr_Sigma,0.0001829330110145236,0.1
0.2,eta2_Tr_Sigma,0.0007317320440580944,0.2
0.01,empirical_raw_second_moment,2.1666064776968873e-06,0.01
0.03,empirical_raw_second_moment,1.9499458299271984e-05,0.03
0.1,empirical_raw_second_moment,0.00021666064776968878,0.1
0.2,empirical_raw_second_moment,0.0008666425910787551,0.2
0.01,eta2_Tr_Sigma_plus_ggT,2.130374831770568e-06,0.01
0.03,eta2_Tr_Sigma_plus_ggT,1.917337348593511e-05,0.03
0.1,eta2_Tr_Sigma_plus_ggT,0.00021303748317705684,0.1
0.2,eta2_Tr_Sigma_plus_ggT,0.0008521499327082273,0.2
